pair,base_bar,signal_bar,float_pct,tp_pct,sl_pct,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.01,140.0,0.267,-99.809,1042,447,595,42.898,99.837,0.774,-4.096,4388,44.21,-68.42,1.62,-96.33,0.27,-83.54
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.015,140.0,0.641,-99.542,1042,481,561,46.161,99.569,0.817,-4.085,4388,61.34,-56.19,5.84,-90.47,0.64,-89.03
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.02,140.0,2.838,-97.973,1042,501,541,48.081,98.254,0.884,-4.021,4388,98.53,-29.62,13.84,-85.96,2.84,-79.49
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.005,140.0,0.002,-99.999,1042,295,747,28.311,99.999,0.516,-4.104,4388,5.55,-96.04,0.04,-99.35,0.0,-94.54
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.008,140.0,0.003,-99.998,1042,367,675,35.221,99.998,0.621,-4.104,4388,7.73,-94.48,0.05,-99.35,0.0,-93.14
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.01,140.0,0.004,-99.997,1042,395,647,37.908,99.997,0.646,-4.104,4388,11.01,-92.13,0.07,-99.33,0.0,-93.92
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.015,140.0,0.01,-99.993,1042,429,613,41.171,99.993,0.673,-4.104,4388,16.78,-88.02,0.29,-98.29,0.01,-96.49
SOL-USDT-SWAP,30m,4H,0.002,0.02,0.02,140.0,0.053,-99.962,1042,449,593,43.09,99.963,0.728,-4.102,4388,24.32,-82.63,0.66,-97.28,0.05,-92.02
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.005,140.0,0.001,-99.999,1042,280,762,26.871,99.999,0.604,-4.104,4388,4.95,-96.46,0.02,-99.58,0.0,-95.0
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.008,140.0,0.001,-100.0,1042,346,696,33.205,100.0,0.696,-4.104,4388,7.72,-94.49,0.01,-99.81,0.0,-95.24
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.01,140.0,0.001,-99.999,1042,374,668,35.893,99.999,0.709,-4.104,4388,10.2,-92.72,0.02,-99.78,0.0,-95.89
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.015,140.0,0.001,-99.999,1042,406,636,38.964,99.999,0.703,-4.104,4388,11.74,-91.62,0.06,-99.46,0.0,-97.71
SOL-USDT-SWAP,30m,4H,0.002,0.03,0.02,140.0,0.005,-99.997,1042,424,618,40.691,99.997,0.71,-4.104,4388,13.38,-90.45,0.1,-99.27,0.0,-95.24
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.005,140.0,4.171,-97.021,999,565,434,56.557,97.43,0.722,-3.982,4388,46.89,-66.5,6.73,-85.64,4.17,-38.05
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.008,140.0,107.476,-23.231,999,682,317,68.268,69.252,0.975,-0.953,4388,138.43,-1.12,88.23,-36.26,107.48,21.81
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.01,140.0,637.872,355.623,999,723,276,72.372,60.778,1.131,14.595,4388,282.13,101.52,424.77,50.56,637.87,50.17
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.015,140.0,15932.183,11280.131,999,782,217,78.278,44.783,1.353,462.933,4388,743.65,431.18,7406.65,895.99,15932.18,115.11
SOL-USDT-SWAP,30m,4H,0.0025,0.006,0.02,140.0,44477.352,31669.537,999,799,200,79.98,36.734,1.353,1299.707,4388,1458.27,941.62,19477.78,1235.68,44477.35,128.35
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.005,140.0,4.33,-96.907,999,483,516,48.348,97.467,0.743,-3.977,4388,38.01,-72.85,7.96,-79.05,4.33,-45.63
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.008,140.0,50.662,-63.813,999,583,416,58.358,74.905,0.928,-2.619,4388,91.97,-34.31,66.33,-27.88,50.66,-23.62
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.01,140.0,215.83,54.165,999,620,379,62.062,59.511,1.025,2.223,4388,172.01,22.87,206.84,20.25,215.83,4.34
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.015,140.0,4726.319,3275.942,999,674,325,67.467,54.11,1.149,134.444,4388,416.99,197.85,2849.74,583.41,4726.32,65.85
SOL-USDT-SWAP,30m,4H,0.0025,0.008,0.02,140.0,18154.456,12867.468,999,691,308,69.169,53.79,1.175,528.077,4388,827.12,490.8,8303.21,903.87,18154.46,118.64
