pair,mode,signal_bar,float_pct,tp_pct,sl_pct,confirm,min_amp,max_amp,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
BTC-USDT-SWAP,reversal,4H,0.003,0.015,0.03,1,0.0,10.0,148.0,0.0,-100.0,1297,538,759,41.48,100.0,0.745,-5.474,3289,0.72,-99.51,0.0,-100.0,0.0,-26.22
BTC-USDT-SWAP,reversal,4H,0.003,0.02,0.01,1,0.0,10.0,148.0,0.0,-100.0,1297,487,810,37.55,100.0,0.661,-5.474,3289,0.43,-99.71,0.0,-100.0,0.0,-25.34
BTC-USDT-SWAP,reversal,4H,0.003,0.02,0.015,1,0.0,10.0,148.0,0.0,-100.0,1297,509,788,39.24,100.0,0.698,-5.474,3289,0.24,-99.83,0.0,-100.0,0.0,-29.6
BTC-USDT-SWAP,reversal,4H,0.003,0.02,0.02,1,0.0,10.0,148.0,0.0,-100.0,1297,515,782,39.71,100.0,0.659,-5.474,3289,0.26,-99.83,0.0,-100.0,0.0,-26.22
BTC-USDT-SWAP,reversal,4H,0.003,0.02,0.025,1,0.0,10.0,148.0,0.0,-100.0,1297,516,781,39.78,100.0,0.657,-5.474,3289,0.12,-99.92,0.0,-100.0,0.0,-26.22
BTC-USDT-SWAP,reversal,4H,0.003,0.02,0.03,1,0.0,10.0,148.0,0.0,-100.0,1297,518,779,39.94,100.0,0.662,-5.474,3289,0.28,-99.81,0.0,-100.0,0.0,-26.22
BTC-USDT-SWAP,reversal,4H,0.003,0.03,0.01,1,0.0,10.0,148.0,0.0,-100.0,1297,483,814,37.24,100.0,0.583,-5.474,3289,0.41,-99.72,0.0,-100.0,0.0,-25.34
BTC-USDT-SWAP,reversal,4H,0.003,0.03,0.015,1,0.0,10.0,148.0,0.0,-100.0,1297,503,794,38.78,100.0,0.602,-5.474,3289,0.15,-99.9,0.0,-100.0,0.0,-29.6
BTC-USDT-SWAP,reversal,4H,0.003,0.03,0.02,1,0.0,10.0,148.0,0.0,-100.0,1297,510,787,39.32,100.0,0.607,-5.474,3289,0.25,-99.83,0.0,-100.0,0.0,-26.22
BTC-USDT-SWAP,reversal,4H,0.003,0.03,0.025,1,0.0,10.0,148.0,0.0,-100.0,1297,511,786,39.4,100.0,0.606,-5.474,3289,0.11,-99.93,0.0,-100.0,0.0,-26.22
BTC-USDT-SWAP,reversal,4H,0.003,0.03,0.03,1,0.0,10.0,148.0,0.0,-100.0,1297,513,784,39.55,100.0,0.607,-5.474,3289,0.25,-99.83,0.0,-100.0,0.0,-26.22
BTC-USDT-SWAP,reversal,4H,0.005,0.006,0.01,1,0.0,10.0,148.0,549.43,271.24,942,633,309,67.2,92.28,1.013,14.849,3289,670.32,352.92,567.58,-15.33,549.43,-3.2
BTC-USDT-SWAP,reversal,4H,0.005,0.006,0.015,1,0.0,10.0,148.0,5123.87,3362.08,942,659,283,69.96,93.59,1.033,184.055,3289,4344.86,2835.71,5613.13,29.19,5123.87,-8.72
BTC-USDT-SWAP,reversal,4H,0.005,0.006,0.02,1,0.0,10.0,148.0,10073.21,6706.22,942,666,276,70.7,92.33,1.056,367.129,3289,5687.35,3742.8,10291.76,80.96,10073.21,-2.12
BTC-USDT-SWAP,reversal,4H,0.005,0.006,0.025,1,0.0,10.0,148.0,17443.81,11686.36,942,669,273,71.02,88.27,1.098,639.764,3289,4131.96,2691.87,17623.87,326.53,17443.81,-1.02
BTC-USDT-SWAP,reversal,4H,0.005,0.006,0.03,1,0.0,10.0,148.0,32827.95,22081.05,942,672,270,71.34,70.28,1.162,1208.817,3289,5743.95,3781.04,33008.01,474.66,32827.95,-0.55
BTC-USDT-SWAP,reversal,4H,0.005,0.008,0.01,1,0.0,10.0,148.0,4.93,-96.67,942,527,415,55.94,99.73,0.984,-5.292,3289,208.58,40.94,5.24,-97.49,4.93,-5.89
BTC-USDT-SWAP,reversal,4H,0.005,0.008,0.015,1,0.0,10.0,148.0,5.53,-96.26,942,546,396,57.96,99.83,0.991,-5.27,3289,469.97,217.55,6.23,-98.67,5.53,-11.25
BTC-USDT-SWAP,reversal,4H,0.005,0.008,0.02,1,0.0,10.0,148.0,6.01,-95.94,942,551,391,58.49,99.81,0.993,-5.252,3289,611.89,313.44,6.32,-98.97,6.01,-4.84
BTC-USDT-SWAP,reversal,4H,0.005,0.008,0.025,1,0.0,10.0,148.0,8.87,-94.0,942,554,388,58.81,99.54,0.991,-5.146,3289,385.11,160.21,9.33,-97.58,8.87,-4.84
BTC-USDT-SWAP,reversal,4H,0.005,0.008,0.03,1,0.0,10.0,148.0,27.19,-81.63,942,558,384,59.24,99.27,0.995,-4.469,3289,738.77,399.17,28.57,-96.13,27.19,-4.84
BTC-USDT-SWAP,reversal,4H,0.005,0.01,0.01,1,0.0,10.0,148.0,0.05,-99.96,942,456,486,48.41,99.99,0.926,-5.472,3289,52.48,-64.54,0.06,-99.89,0.05,-2.3
BTC-USDT-SWAP,reversal,4H,0.005,0.01,0.015,1,0.0,10.0,148.0,0.04,-99.97,942,473,469,50.21,99.99,0.935,-5.473,3289,64.99,-56.08,0.04,-99.94,0.04,-7.87
BTC-USDT-SWAP,reversal,4H,0.005,0.01,0.02,1,0.0,10.0,148.0,0.02,-99.99,942,475,467,50.42,100.0,0.945,-5.474,3289,84.07,-43.2,0.02,-99.98,0.02,-1.22
BTC-USDT-SWAP,reversal,4H,0.005,0.01,0.025,1,0.0,10.0,148.0,0.02,-99.99,942,477,465,50.64,100.0,0.937,-5.474,3289,58.93,-60.18,0.02,-99.96,0.02,-1.22
BTC-USDT-SWAP,reversal,4H,0.005,0.01,0.03,1,0.0,10.0,148.0,0.08,-99.95,942,479,463,50.85,99.99,0.961,-5.472,3289,138.68,-6.3,0.08,-99.94,0.08,-1.22
BTC-USDT-SWAP,reversal,4H,0.005,0.015,0.01,1,0.0,10.0,148.0,0.0,-100.0,942,393,549,41.72,100.0,0.808,-5.474,3289,7.63,-94.85,0.0,-100.0,0.0,-20.97
BTC-USDT-SWAP,reversal,4H,0.005,0.015,0.015,1,0.0,10.0,148.0,0.0,-100.0,942,405,537,42.99,100.0,0.746,-5.474,3289,2.49,-98.32,0.0,-100.0,0.0,-25.48
BTC-USDT-SWAP,reversal,4H,0.005,0.015,0.02,1,0.0,10.0,148.0,0.0,-100.0,942,408,534,43.31,100.0,0.712,-5.474,3289,1.68,-98.86,0.0,-100.0,0.0,-20.1
BTC-USDT-SWAP,reversal,4H,0.005,0.015,0.025,1,0.0,10.0,148.0,0.0,-100.0,942,409,533,43.42,100.0,0.687,-5.474,3289,0.61,-99.59,0.0,-100.0,0.0,-20.1
BTC-USDT-SWAP,reversal,4H,0.005,0.015,0.03,1,0.0,10.0,148.0,0.0,-100.0,942,411,531,43.63,100.0,0.724,-5.474,3289,2.05,-98.61,0.0,-100.0,0.0,-20.1
BTC-USDT-SWAP,reversal,4H,0.005,0.02,0.01,1,0.0,10.0,148.0,0.0,-100.0,942,372,570,39.49,100.0,0.736,-5.474,3289,2.79,-98.11,0.0,-100.0,0.0,-20.97
BTC-USDT-SWAP,reversal,4H,0.005,0.02,0.015,1,0.0,10.0,148.0,0.0,-100.0,942,387,555,41.08,100.0,0.671,-5.474,3289,0.83,-99.44,0.0,-100.0,0.0,-25.48
BTC-USDT-SWAP,reversal,4H,0.005,0.02,0.02,1,0.0,10.0,148.0,0.0,-100.0,942,392,550,41.61,100.0,0.641,-5.474,3289,0.8,-99.46,0.0,-100.0,0.0,-20.1
BTC-USDT-SWAP,reversal,4H,0.005,0.02,0.025,1,0.0,10.0,148.0,0.0,-100.0,942,392,550,41.61,100.0,0.623,-5.474,3289,0.29,-99.81,0.0,-100.0,0.0,-20.1
BTC-USDT-SWAP,reversal,4H,0.005,0.02,0.03,1,0.0,10.0,148.0,0.0,-100.0,942,394,548,41.83,100.0,0.651,-5.474,3289,0.97,-99.34,0.0,-100.0,0.0,-20.1
